"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Interactive Navigation for Legged Manipulators with Learned Arm-Pushing Controller","Z. Bi; K. Chen; C. Zheng; Y. Li; H. Li; J. Ma","Robotics and Autonomous Systems Thrust, The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; Robotics and Autonomous Systems Thrust, The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; Robotics and Autonomous Systems Thrust, The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; Robotics and Autonomous Systems Thrust, The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; Robotics and Autonomous Systems Thrust, The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; Robotics and Autonomous Systems Thrust, The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","9","16","Interactive navigation is crucial in scenarios where proactively interacting with objects can yield shorter paths, thus significantly improving traversal efficiency. Existing methods primarily focus on using the robot body to relocate obstacles during navigation. However, they prove ineffective in narrow or constrained spaces where the robot’s dimensions restrict its manipulation capabilities. This paper introduces a novel interactive navigation framework for legged manipulators, featuring an active arm-pushing mechanism that enables the robot to reposition movable obstacles in space-constrained environments. To this end, we develop a reinforcement learning-based arm-pushing controller with a two-stage reward strategy for object manipulation. Specifically, this strategy first directs the manipulator to a designated pushing zone to achieve a kinematically feasible contact configuration. Then, the end effector is guided to maintain its position at appropriate contact points for stable object displacement while preventing toppling. The simulations validate the robustness of the arm-pushing controller, showing that the two-stage reward strategy improves policy convergence and long-term performance. Real-World experiments further demonstrate the effectiveness of the proposed navigation framework, which achieves shorter paths and reduced traversal time. The open-source project can be found at https://zhihaibi.github.io/interactive-push.github.io/.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246770","","Legged locomotion;Navigation;Shape;Friction;Aerospace electronics;Robustness;End effectors;Intelligent robots;Convergence","","3","","24","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Reinforcement Learning Assist-As-Needed Control Promotes Recovery of Walking Speed Following Ankle Weight Perturbations","A. Li; H. Li; A. Teker; M. H. Rocha; B. A. Gebre; K. J. Nolan; K. Pochiraju; D. Zanotto","WRS Lab., Stevens Inst. of Technology, Hoboken, NJ, USA; WRS Lab., Stevens Inst. of Technology, Hoboken, NJ, USA; PROOF Lab., Stevens Inst. of Technology, Hoboken, NJ, USA; PROOF Lab., Stevens Inst. of Technology, Hoboken, NJ, USA; PROOF Lab., Stevens Inst. of Technology, Hoboken, NJ, USA; Human Performance and Engineering Research, Kessler Foundation, West Orange, NJ, USA; PROOF Lab., Stevens Inst. of Technology, Hoboken, NJ, USA; WRS Lab., Stevens Inst. of Technology, Hoboken, NJ, USA",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","46","51","Self-selected walking speed is a key outcome for exercise-based rehabilitation programs following lower-extremity trauma. This work introduces a novel reinforcement learning-based assist-as-needed (RL-AAN) controller for ankle exoskeletons, aimed at gait speed training. Built on an actor–critic architecture, the RL-AAN controller integrates a control objective that balances the trade-off between expected stride velocity (SV) errors and exoskeleton assistance. This approach allows the exoskeleton to progressively reduce ankle plantar- and dorsiflexion (PDF) assistance as the user’s performance improves, promoting active participation. The desired assistive torque is computed as the product of the actor output and the wearer’s biomechanical ankle PDF moment, estimated by a subject-agnostic model, thereby ensuring personalized and biomechanically relevant assistance. In a proof-of-concept study with healthy individuals walking on a self-paced treadmill with ankle weights, the RL-AAN controller outperformed a conventional Fixed-K controller—achieving greater immediate speed increases during assisted walking (14.2% vs. 10.0% relative to unassisted perturbed walking) and inducing short-term gait speed adaptation post-training, not observed with the conventional controller. These findings highlight the potential of RL-AAN control for subject-tailored gait training, with promising clinical implications for exercise-based rehabilitation in individuals with neurological or musculoskeletal gait impairments.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246270","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246270","Personalized Ankle Exoskeleton;Assist-as-Needed Control;Robot-Assisted Gait Training;Reinforcement Learning","Legged locomotion;Ankle;Training;Biomechanics;Musculoskeletal system;Torque;Perturbation methods;Exoskeletons;Reinforcement learning;Intelligent robots","","1","","34","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"GeT-USE: Learning Generalized Tool Usage for Bimanual Mobile Manipulation via Simulated Embodiment Extensions","B. Wu; P. de La Sayette; L. Fei-Fei; R. Martín-Martín","Stanford University and the University of Texas, Austin, USA; Stanford University and the University of Texas, Austin, USA; Stanford University and the University of Texas, Austin, USA; Stanford University and the University of Texas, Austin, USA",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","59","66","The ability to use random objects as tools in a generalizable manner is a missing piece in robots’ intelligence today to boost their versatility and problem-solving capabilities. State-of-the-art robotic tool usage methods focused on procedurally generating or crowd-sourcing datasets of tools for a task to learn how to grasp and manipulate them for that task. However, these methods assume that only one object is provided and that it is possible, with the correct grasp, to perform the task; they are not capable of identifying, grasping, and using the best object for a task when many are available, especially when the optimal tool is absent. In this work, we propose GeT-USE, a two-step procedure that learns to perform real-robot generalized tool usage by learning first to extend the robot’s embodiment in simulation and then transferring the learned strategies to real-robot visuomotor policies. Our key insight is that by exploring a robot’s embodiment extensions (i.e., building new end-effectors) in simulation, the robot can identify the general tool geometries most beneficial for a task. This learned geometric knowledge can then be distilled to perform generalized tool usage tasks by selecting and using the best available real-world object as tool. On a real robot with 22 degrees of freedom (DOFs), GeT-USE outperforms state-of-the-art methods by 30-60% success rates across three vision-based bimanual mobile manipulation tool-usage tasks.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11245978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245978","","Hands;Geometry;Liquids;Grasping;Fabrics;Problem-solving;Object recognition;Grippers;Robots;Intelligent robots","","","","29","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Manipulate-To-Navigate: Reinforcement Learning with Visual Affordances and Manipulability Priors","Y. Zhang; J. Pajarinen","Department of Electrical Engineering and Automation, Aalto Robot Learning Lab, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto Robot Learning Lab, Aalto University, Espoo, Finland",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","90","96","Mobile manipulation in dynamic environments is challenging due to movable obstacles blocking the robot’s path. Traditional methods, which treat navigation and manipulation as separate tasks, often fail in such ""manipulate-to-navigate"" scenarios, as obstacles must be removed before navigation. In these cases, active interaction with the environment is required to clear obstacles while ensuring sufficient space for movement. To address the manipulate-to-navigate problem, we propose a reinforcement learning-based approach for learning manipulation actions that facilitate subsequent navigation. Our method combines manipulability priors to focus the robot on high manipulability body positions with affordance maps for selecting high-quality manipulation actions. By focusing on feasible and meaningful actions, our approach reduces unnecessary exploration and allows the robot to learn manipulation strategies more effectively.We present two new manipulate-to-navigate simulation tasks called Reach and Door with the Boston Dynamics Spot robot. The first task tests whether the robot can select a good hand position in the target area such that the robot base can move effectively forward while keeping the end effector position fixed. The second task requires the robot to move a door aside in order to clear the navigation path. Both of these tasks need first manipulation and then navigating the base forward. Results show that our method allows a robot to effectively interact with and traverse dynamic environments. Finally, we transfer the learned policy to a real Boston Dynamics Spot robot, which successfully performs the Reach task.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247222","Horizon Europe; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247222","","Training;Visualization;Three-dimensional displays;Navigation;Robot kinematics;Affordances;Reinforcement learning;End effectors;Robots;Manipulator dynamics","","1","","29","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Open-loop Deep Reinforcement Learning Control of Soft Robotic In-hand Manipulations","G. Suske; S. Pilch; A. Beger; J. L. Heidingsfeld; O. Sawodny","System Engineer for Electric Satellite Propulsion Systems at Thales Group, Ulm, Germany; Research Assistant at the Institute for System Dynamics, University of Stuttgart, Stuttgart, Germany; Research Engineer and Manager of the Anthropomorphic Soft Gripper Project at Festo SE & Co. KG, Esslingen, Germany; Research Engineer at Festo SE & Co. KG, Esslingen, Germany; Institute for System Dynamics, University of Stuttgart, Stuttgart, Germany",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","136","141","In-hand manipulation tasks using hand-like robotic grippers offer a promising approach to accomplish various tasks in a human-centered environment. Due to the inherent safety of soft robots, in-hand manipulations performed by soft robots provide great opportunities for future human-robot collaboration, which is the scope of this paper. By modeling a new and innovative soft-robotic gripper known as the Anthropomorphic Soft Gripper and synthesis of an open-loop controller with deep reinforcement learning, it is demonstrated how the movement of objects by in-hand manipulations can be accomplished. Moreover, this work explores the application of deep reinforcement learning methods without the employment for domain randomization. As noted by Bhatt et al. the inherent soft properties of soft robotic grippers enable remarkably robust in-hand manipulation in open-loop control, giving the impetus for the approach that is being followed in this work. Motion sequences generated in simulation are successfully transferred to the real anthropomorphic soft gripper and validated in experiments.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11245997","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245997","","Hands;Tracking;Human-robot interaction;Kinematics;Interference;Soft robotics;Deep reinforcement learning;Safety;Grippers;Intelligent robots","","2","","24","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"SHIELD: Safety on Humanoids via CBFs In Expectation on Learned Dynamics","L. Yang; B. Werner; R. K. Cosner; D. Fridovich-Keil; P. Culbertson; A. D. Ames","Mechanical and Civil Engineering, California Institute of Technology; Mechanical and Civil Engineering, California Institute of Technology; Mechanical and Civil Engineering, California Institute of Technology; Aerospace Engineering and Engineering Mechanics, UT Austin; Computer Science, Cornell University; Mechanical and Civil Engineering, California Institute of Technology",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","203","210","Robot learning has produced remarkably effective ""black-box"" controllers for complex tasks such as dynamic locomotion on humanoids. Yet ensuring dynamic safety, i.e., constraint satisfaction, remains challenging for such policies. Reinforcement learning (RL) embeds constraints heuristically through reward engineering, and adding or modifying constraints requires retraining. Model-based approaches, like control barrier functions (CBFs), enable runtime constraint specification with formal guarantees but require accurate dynamics models. This paper presents SHIELD, a layered safety framework that bridges this gap by: (1) training a generative, stochastic dynamics residual model using real-world data from hardware rollouts of the nominal controller, capturing system behavior and uncertainties; and (2) adding a safety layer on top of the nominal (learned locomotion) controller that leverages this model via a stochastic discrete-time CBF formulation enforcing safety constraints in probability. The result is a minimally-invasive safety layer that can be added to the existing autonomy stack to give probabilistic guarantees of safety that balance risk and performance. In hardware experiments on an Unitree G1 humanoid, SHIELD enables safe navigation (obstacle avoidance) through varied indoor and outdoor environments using a nominal (unknown) RL controller and onboard perception.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247065","","Legged locomotion;Training;Uncertainty;Filters;Humanoid robots;Stochastic processes;Hardware;Data models;Safety;Collision avoidance","","","","42","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Head-mounted Robotic Needle Positioning: Learning from Augmented Reality Demonstration of Neuronavigation and Planning","Z. Fang; H. M. Hung; H. Gao; H. Ren","Department of Electronic Engineering, The Chinese University of Hong Kong (CUHK), Hong Kong, China; Department of Electronic Engineering, The Chinese University of Hong Kong (CUHK), Hong Kong, China; Department of Electronic Engineering, The Chinese University of Hong Kong (CUHK), Hong Kong, China; Department of Electronic Engineering, The Chinese University of Hong Kong (CUHK), Hong Kong, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","387","393","Abstract— Robotic needle positioning tasks in neurosurgery often face challenges due to insufficient perception of planar guidance images during surgery. In this work, we propose an Augmented Reality (AR) interface to help perform the robotic needle positioning tasks by learning from demonstration (LfD). Enhanced immersion in the workflow is achieved by displaying surgical scenes and calculated navigation information. The framework utilizes mixed interactive interfaces in virtual and real environments, enhancing demonstration efficiency and quality. A head-mounted display and an optical tracking system are utilized to perform the visualization and needle tracking. Gaussian Mixture Model (GMM) and Gaussian Mixture Regression (GMR) are employed to learn a robust and smooth trajectory policy from demonstrations. Experiments on robot reproduction of the needle positioning task achieved a final positioning error of 0.6 mm and an average trajectory error of 1.07 mm. Comparative user studies with haptic device-based teleoperation exhibit a low completion time of 62.76 s and reduced workload of the proposed system.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247373","","Visualization;Head-mounted displays;Navigation;Needles;Optical imaging;Trajectory;Planning;Neurosurgery;Augmented reality;Intelligent robots","","","","30","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Diffusion Policies for Risk-Averse Behavior Modeling in Offline Reinforcement Learning","X. Chen; S. Wang; T. Yu; L. Yao","Data 61, CSIRO, Australia; School of Computing, Macquarie University, Australia; Adobe Research, USA; Data 61, CSIRO, Australia",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","567","574","Offline reinforcement learning (RL) presents distinct challenges as it relies solely on observational data. A central concern in this context is ensuring the safety of the learned policy by quantifying uncertainties associated with various actions and environmental stochasticity. Traditional approaches primarily emphasize mitigating epistemic uncertainty by learning risk-averse policies, often overlooking environmental stochasticity. In this study, we propose an uncertainty-aware distributional offline RL method to simultaneously address both epistemic uncertainty and environmental stochasticity. We propose a model-free offline RL algorithm capable of learning risk-averse policies and characterizing the entire distribution of discounted cumulative rewards, as opposed to merely maximizing the expected value of accumulated discounted returns. Our method is rigorously evaluated through comprehensive experiments in both risk-sensitive and risk-neutral benchmarks, demonstrating its superior performance.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11245819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245819","","Uncertainty;Reinforcement learning;Benchmark testing;Safety;Intelligent robots","","1","","32","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"IHGSL: Interpretable Heuristic Graph Structure Learning for Multi-Robot Autonomous Collaborative Systems","Y. Han; H. Li; C. Liu; C. Liang; Z. Sun","AVIC Shenyang Aircraft Design & Research Institute, China; Shenyang Aerospace University, China; Shenyang Aerospace University, China; Shenyang Institute of Automation, Chinese Academy of Sciences, China; AVIC Shenyang Aircraft Design & Research Institute, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","575","582","In multi-robot systems, capturing the complex and dynamic interaction relationships is essential for enhancing autonomous collaboration. However, existing learning-based approaches usually overlook the understanding of these relationships, leading to reliability issues and hindering their application to real-world scenarios. This paper proposes a novel approach called Interpretable Heuristic Graph Structure Learning (IHGSL) to better comprehend the complex collaborative relationships in multi-robot systems. We first construct a predicate space to define diverse predicates that express fundamental relationships. Then we employ the variational information bottleneck technique to acquire a latent representation of the current observation by aligning it with the historical trajectory. On this basis, the predicates that the robot should currently focus on the most are learned, and some interaction relationships are established accordingly. Thereby an interpretable relationship graph is generated heuristically to guide the achievement of multi-robot autonomous collaborative decision-making. Through experimental evaluation, we demonstrate the process of relationship inference, thus validating the interpretability of IHGSL. Compared with existing methods, IHGSL also achieves superior collaboration performance, which highlights the effectiveness of the learned heuristic graph structure.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246258","","Learning systems;Navigation;Robot kinematics;Design methodology;Decision making;Collaboration;Trajectory;Multi-robot systems;Reliability;Intelligent robots","","1","","28","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"ACGD: Visual Multitask Policy Learning with Asymmetric Critic Guided Distillation","K. Srinivasan; J. Xu; H. Ang; E. Heiden; D. Fox; J. Bohg; A. Garg",Stanford University; NVIDIA; Stanford University; NVIDIA; NVIDIA; Stanford University; NVIDIA,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","583","590","We present Asymmetric Critic Guided Distillation, ACGD, a framework for learning multi-task dexterous manipulation policies that can manipulate articulated objects using images as input. ACGD is a scalable student-teacher distillation approach that utilizes behavior cloning to distill multiple expert policies into a single vision-based, multi-task student policy for dexterous manipulation. The expert policies are trained with traditional RL techniques with access to privileged state information of both the robot and the manipulated object, while the distilled student policy operates under realistic sensory constraints, specifically using only camera images and robot proprioception. During distillation, we use an expert-critic that provides action labels and value estimates to refine the student’s action sampling through a dual IL/RL objective. In the multi-task setting, we achieve this through an aggregate critic for different single-task experts. Our approach exhibits strong performance compared to a number of state-of-the-art imitation learning (IL) and reinforcement learning (RL) baselines. We evaluate across a variety of multi-task dexterous manipulation benchmarks including bimanual manipulation, single-hand object articulation tasks, and a tendon-actuated hand and achieves state-of-the-art performance with 10-15% improvement over the baseline algorithms. Visit our website for more details.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247025","","Hands;Visualization;Imitation learning;Robot vision systems;Cloning;Reinforcement learning;Benchmark testing;Multitasking;Cameras;Intelligent robots","","","","36","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"RT-HCP: Dealing with Inference Delays and Sample Efficiency to Learn Directly on Robotic Platforms","Z. El Asri; I. Laiche; C. Rambour; O. Sigaud; N. Thome","Sorbonne Université, CNRS, ISIR, Paris, France; Sorbonne Université, CNRS, ISIR, Paris, France; Sorbonne Université, CNRS, ISIR, Paris, France; Sorbonne Université, CNRS, ISIR, Paris, France; Sorbonne Université, CNRS, ISIR, Paris, France",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","597","603","Learning a controller directly on the robot requires extreme sample efficiency. Model-based reinforcement learning (RL) methods are the most sample efficient, but they often suffer from a too long inference time to meet the robot control frequency requirements. In this paper, we address the sample efficiency and inference time challenges with two contributions. First, we define a general framework to deal with inference delays where the slow inference robot controller provides a sequence of actions to feed the control-hungry robotic platform without execution gaps. Then, we compare several RL algorithms in the light of this framework and propose RT-HCP, an algorithm that offers an excellent trade-off between performance, sample efficiency and inference time. We validate the superiority of RT-HCP with experiments where we learn a controller directly on a simple but high frequency FURUTA pendulum platform. Code: github.com/elasriz/RTHCP","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247277","Horizon Europe; Agence Nationale de la Recherche; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247277","","Time-frequency analysis;Codes;Robot control;Reinforcement learning;Inference algorithms;Delays;High frequency;Feeds;Intelligent robots;Frequency control","","","","19","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"DRARL: Disengagement-Reason-Augmented Reinforcement Learning for Efficient Improvement of Autonomous Driving Policy","W. Zhou; B. Zhang; Z. Cao; X. Li; Q. Cheng; C. Liu; Y. Zhang; D. Yang","School of Vehicle and Mobility, Tsinghua University; School of Vehicle and Mobility, Tsinghua University; Department of Civil and Environmental Engineering, University of Michigan; Lab for High Technology, Tsinghua University; School of Vehicle and Mobility, Tsinghua University; School of Vehicle and Mobility, Tsinghua University; Institute for AI Industry Research, Tsinghua University; School of Vehicle and Mobility, Tsinghua University",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","604","611","With the increasing presence of automated vehicles on open roads under driver supervision, disengagement cases are becoming more prevalent. While some data-driven planning systems attempt to directly utilize these disengagement cases for policy improvement, the inherent scarcity of disengagement data (often occurring as a single instance) restricts training effectiveness. Furthermore, some disengagement data should be excluded since the disengagement may not always come from the failure of driving policies, e.g. the driver may casually intervene for a while. To this end, this work proposes disengagement-reason-augmented reinforcement learning (DRARL), which enhances driving policy improvement process according to the reason of disengagement cases. Specifically, the reason of disengagement is identified by an out-of-distribution (OOD) state estimation model. When the reason doesn’t exist, the case will be identified as a casual disengagement case, which doesn’t require additional policy adjustment. Otherwise, the policy can be updated under a reason-augmented imagination environment, improving the policy performance of disengagement cases with similar reasons. The method is evaluated using real-world disengagement cases collected by autonomous driving robotaxi. Experimental results demonstrate that the method accurately identifies policy-related disengagement reasons, allowing the agent to handle both original and semantically similar cases through reason-augmented training. Furthermore, the approach prevents the agent from becoming overly conservative after policy adjustments. Overall, this work provides an efficient way to improve driving policy performance with disengagement cases.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246116","National Natural Science Foundation of China; China Postdoctoral Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246116","","Training;Roads;Reinforcement learning;Planning;State estimation;Autonomous vehicles;Intelligent robots;Image reconstruction;Vehicles","","1","","31","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Application of LLM Guided Reinforcement Learning in Formation Control with Collision Avoidance","C. Yao; Z. Yuan; X. Liu; C. Zhu","School of Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, Shenzhen, China; School of Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, Shenzhen, China; School of Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, Shenzhen, China; School of Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, Shenzhen, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","746","753","Multi-Agent Systems (MAS) excel at accomplishing complex objectives through the collaborative efforts of individual agents. Among the methodologies employed in MAS, Multi-Agent Reinforcement Learning (MARL) stands out as one of the most efficacious algorithms. However, when confronted with the complex objective of Formation Control with Collision Avoidance (FCCA): designing an effective reward function that facilitates swift convergence of the policy network to an optimal solution. In this paper, we introduce a novel framework that aims to overcome this challenge. By giving large language models (LLMs) on the prioritization of tasks and the observable information available to each agent, our framework generates reward functions that can be dynamically adjusted online based on evaluation outcomes by employing more advanced evaluation metrics rather than the rewards themselves. This mechanism enables the MAS to simultaneously achieve formation control and obstacle avoidance in dynamic environments with enhanced efficiency, requiring fewer iterations to reach superior performance levels. Our empirical studies, conducted in both simulation and real-world settings, validate the practicality and effectiveness of our proposed approach.Project Website: https://macsclab.github.io/LLM_FCCA","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247576","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247576","","Measurement;Large language models;Reinforcement learning;Formation control;Collision avoidance;Tuning;Intelligent robots;Faces;Multi-agent systems;Convergence","","","","25","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Modeling Deception in Multi-Robot Target-Attacker-Defender Game via Deep Reinforcement Learning","F. Gou; C. Zhao; H. Du; Y. Cai","School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, Shanghai; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, Shanghai; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, Shanghai; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, Shanghai",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","813","819","Deception is a crucial strategy in adversarial scenarios, yet its application in multi-agent confrontations remains understudied. This paper investigates deception in a multi-robot Target-Attacker-Defender (MR-TAD) game, where Attackers aim to capture Targets while evading Defenders. To model deception effectively, we propose a hierarchical decision-making framework that integrates multi-agent reinforcement learning (MARL) for high-level deceptive strategies and optimal control for low-level motion control. Furthermore, we introduce a novel composite deception-oriented reward function, which combines hitting rewards, belief switch rewards, and position advantage rewards to facilitate the training of deceptive behaviors. Simulation results across varying numbers of robots demonstrate that incorporating deception significantly increases the success rate of Attackers, with an average improvement of over 70% compared to non-deceptive strategies. Additionally, real-world experiments with omnidirectional mobile robots further confirm the effectiveness of the proposed method. This study establishes a generalizable framework for modeling deception in multi-agent systems, with potential applications in various multi-agent scenarios.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246010","Aeronautical Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246010","","Training;Simulation;Optimal control;Games;Switches;Deep reinforcement learning;Mobile robots;Motion control;Intelligent robots;Multi-agent systems","","","","24","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Decentralized Multi-robot Navigation Policy with Enhanced Security Using Graph GRU Policy Network","L. Chen; Y. Ao; Z. Zhou; Y. Wang; D. Wang","School of Software Engineering, Xian Jiaotong University, Xian, China; School of Software Engineering, Xian Jiaotong University, Xian, China; School of Electrical and Information Engineering, Hunan University, Changsha, China; School of Electrical and Information Engineering, Hunan University, Changsha, China; School of Electrical and Electrical Engineering, Nanyang Technological University, Singapore",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","905","911","Formulating a multi-robot obstacle avoidance policy is essential for enabling safe and efficient navigation in multi-robot environments, forming a critical component of the effective operation of multi-robot systems. Recently, reinforcement learning has been applied to improve the performance of decentralized, policy-driven robots in task execution. However, ensuring the safety of these agents during movement remains a significant challenge due to the inherent risks associated with the reinforcement learning process, such as frequent collisions. To address this issue and enhance the safety of policy-guided multi-robot navigation, we propose a novel policy based on imitation learning. This framework introduces a novel policy neural network that integrates a graph attention mechanism with the GRU network structure. The key innovation lies in utilizing the interactions between neighboring robots to enhance the safety of their movements. In a multi-robot simulation environment, robot behaviors are directed by the proposed policy. A comparative analysis was conducted between our approach and RL-RVO, one of the advanced methods in the field. The results demonstrate that our approach outperforms RL-RVO, achieving a higher success rate and significantly improving safety performance.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11245969","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245969","","Technological innovation;Attention mechanisms;Navigation;Neural networks;Reinforcement learning;Safety;Trajectory;Security;Collision avoidance;Observability","","","","29","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
